A&A Iconique : question;A&A Iconique : réponse;Distracteur 1;Distracteur 2;;
Quel illustre créateur a silencieusement influencé l'architecture des châteaux de la Loire ?;Léonard de Vinci;Michel-Ange;Andrea Palladio;;
Quel architecte italien fut nommé sénateur à vie ?;Renzo Piano;Massimiliano Fuksas;Aldo Rossi;;
Quel architecte vit sa notoriété exploser après avoir réalisé des logements pour moins de 1000 € du m² ?;Bjark Ingels;Alejandro Aravena;Shigeru Ban;;
Mes Folies peuplent le parc de la Villette. Qui suis-je ?;Bernard Tschumi;Rem Koolhaas;Jean Nouvel;;
Quel architecte fut en charge de la reconstruction de la Basilique Saint-Pierre de Rome en 1506 ?;Donato Bramante;Leon Battista Alberti;Filippo Brunelleschi;;
Qui furent les architectes de la rénovation du Grand Site Tour Eiffel ?;Chartier + Corbasson;Lacaton & Vassal;Dominique Perrault & Gaëlle Lauriot-Prévost;;
Quel concept urbanistique Christian de Portzamparc a-t-il développé ?;L'îlot ouvert;La ville radieuse;Le plan libre;reste;0
Qui est l'architecte du château de Vaux-le-Vicomte ?;Louis Le vau;André Le Nôtre;François Mansart;;
Quelle compétence Peter Zumthor apprit-il auprès de son père ?;L'ébénisterie;La taille de pierre;La charpenterie;;
Quel architecte fut rendu célèbre par la réalisation de l'école Gando au Burkina Faso ?;Francis Kere;David Adjaye;Kunlé Adeyemi;;
"Quel architecte réalise la ""Forêt verticale"" à Milan ?";Stefano boeri ;Renzo Piano;Carlo Ratti;;
Qui réalise une maison inclinée pour Gaston Drusch ?;Claude Parent;Paul Virilio;Jean Prouvé;;
Que construit Aldo Rossi à Modène?;Un ossuaire;Un théâtre;Une bibliothèque;;
Quel architecte fut constructeur de machines de guerre sous l'empire romain ?;Vitruve;Apollodore de Damas;Séverus;;
Quel est l'architecte de la maison en forme d'Ovni dans laquelle on voit James Bond se battre contre Bambi et Thumper ?;John Lautner ;Frank Lloyd Wright;Richard Neutra;;
Quels architectes ont transformés une centrale électrique en un musée d'art moderne ?;Herzog et Demeuron;Foster + Partners;David Chipperfield;;
A quelle architecte danoise doit-on The Wale ?;Dorte mandrup;Bjarke Ingels;Henning Larsen;;
Depuis le bâtiment de quel architecte peut-on apercevoir le Théâtre antique de Lugdunum ?;Bernard Zehrfuss;Tony Garnier;Le Corbusier;;
Quel écrit d'Adolf Loos met en cause le trop plein d'ornementation associé à l'art nouveau ?;Ornement et crime;Vers une architecture;L'éloge de l'ombre;;
Quelle est l'emprise au sol de la Maison A conçue par Sanaa ?;8 x 4 m;6 x 6 m;10 x 5 m;;
Avec qui Renzo Piano co-réalise le Centre Pompidou ?;Richard Rogers;Norman Foster;Jean Prouvé;;
Quel architecte français de l'après-guerre est connu pour ses réalisation en Iran et en Algérie ?;Fernand Pouillon;Auguste Perret;André Lurçat;;
De qui la Villa Noailles est-elle la première réalisation ?;Robert Mallet-Stevens;Le Corbusier;Pierre Chareau;;
Pour quel type de bâtiment sont notamment connus Lacaton et Vassal ? ;Les logements sociaux;Les musées;Les équipements sportifs;;
Quel livré écrit par LAN et Franck Boutté explore et analyse la ville de Paris ?;Paris Haussmann;Paris Métropole;Paris Moderne;;
Ou peut-on voir moulé le visage d'Édouard François ?;Sur la façade de l'Hôtel Fouquet Barrière;Sur la façade du MuCEM;Sur le parvis de la Fondation Cartier;;
"À qui attribue-t-on le slogan ""Less is more"" ?";Ludwig Mies van der Rohe;Le Corbusier;Walter Gropius;;
"Quel architecte a exposé ""Incidental Space"" à la Biennal de Venise, une structure sculpturale en fibre de verre ?";Christian Kerez;Peter Zumthor;Valerio Olgiati;;
Qu'est-ce qui traverse la Maison de Verre de Lina Bo Bardi : un ruisseau, un arbre, une sculpture, un escalier ?;Un arbre;Un ruisseau;Un escalier suspendu;;
En combien de temps la base de l'America's Cup de David Chipperfield a-t-elle été réalisée ?;11 mois;8 mois;18 mois;;
Quel ouvrage théorique majeur Aldo Rossi a-t-il publié en 1966 ?;L'architecture de la ville;Complexité et contradiction en architecture;S, M, L, XL;;
"Quel architecte a publié le livre ""Learning from Las Vegas"" ?";Robert Venturi;Denise Scott Brown;Charles Jencks;;
Quel architecte a exposé la table la plus fine du monde ?;Ishigami;Sou Fujimoto;Kazuyo Sejima;;
Dans quelle ville est située la Jubilee Church de Richard Meier ?;Rome;Los Angeles;Barcelone;;
Quel architecte franco-suisse réalise un musée face à l'acropole d'Athènes ?;Bernard Tschumi;Jean Nouvel;Renzo Piano;;
"A qui attribue-t-on : ""Ce qui m'attire, c'est la courbe sensuelle que l'on trouve dans le corps de la femme parfaite"" ?";Oscar Niemeyer ;Santiago Calatrava;Zaha Hadid;;
Quel concept théorique Valerio Olgiati développe-t-il pour décrire une architecture libérée de tout contexte ?;L'architecture Non-Référentielle;L'architecture contextuelle;L'architecture performative;;
Quel architecte japonais est mondialement reconnu pour l'utilisation du béton ?;Tadao Ando;Kengo Kuma;Fumihiko Maki;;
Qui réalise à Lille un building en forme de chaussure ?;Christian de Portzamparc;Rem Koolhaas;Jean Nouvel;;
Quelle est l'unique maison de Marcel Breuer réalisée en France ?;La Villa Sayer;La Villa Savoye;La Villa de Mandrot;;
"A qui attribue-t-on : ""l'architecture c'est la petrification d'un moment de culture"" ?";Jean Nouvel;Rem Koolhaas;Christian de Portzamparc;;
Quels architectes étaient boxeur avant de devenir architecte ?;Tadao Ando et Glenn Murcutt;Peter Zumthor et Alvaro Siza;Renzo Piano et Richard Rogers;;
Dans la fondation de quel architecte, Iberê Camargo expose-t-il ses peintures ?;Alvaro Siza ;Oscar Niemeyer;Paulo Mendes da Rocha;;
Qui conçoit des demi-maisons, pour lesquels il recevra un prix Pritzker ?;Alejandro Aravena;Shigeru Ban;Wang Shu;;
"Quel architecte porte le surnom de ""directeur inconnu du Bauhaus"" ?";Hannes Meyer;Ludwig Mies van der Rohe;Marcel Breuer;;
Quel activité Robert Mallet Stevens a-t-il pratiqué durant 20 ans ?;Décorateur de cinéma;Peintre de fresques;Scénographe de théâtre;;
"A qui attribue-t-on : ""l'architecture est le jeu savant, correct et magnifique, des volumes sous la lumière"" ?";Le Corbusier;Auguste Perret;Louis Kahn;;
Quel bâtiment de Louis Kahn est célèbre pour son plan symétrique et ses espaces de recherche ouverts à l’horizon pacifique ?;Le Salkt Institute;La bibliothèque d'Exeter;Le Kimbell Art Museum;;
A qui doit-on la médiathèque de Sendai ?;Toyo ito ;Kengo Kuma;Kazuyo Sejima;;
Que réalise Stephen Sauvestre pour Gustave Eiffel lors de l'exposition universelle de 1878 ?;Le pavillon de la compagnie parisienne du Gaz ;Le pavillon des Mines et Métallurgie;Le kiosque du Champ-de-Mars;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
objectif;objectif;;;;
